序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,259360584769,43563789,bili_43563789,2,女,回忆一下，有没有某个瞬间，和喜欢的人在极度暧昧氛围中，默契到同时说出一句令人面红耳赤、满含情欲的话语，当时的心跳是不是快得仿佛要冲破胸膛,2025-04-12 16:53:19,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
2,0,259936113520,8001536,烧肉切鸡饭,6,保密,设备响应再快终究是有延迟的，老司机根本接受不了。比如你打个吃鸡游戏，从手到键盘到显示器再到眼睛算是一次反馈，超过40毫秒的时间就会有明显体感不适，那么请问这台车的转向系统从方向盘传感器到转向驱动电机完成执行，快得过40毫秒吗？这只是一方面，另一方面传统直连式方向盘会实时反应出车辆的各种性能状态，有经验的老司机通过感受方向盘的轻微抖动、力反馈等信息，可以清晰准确判断出实时的车况路况，这是任何“遥控设备”不可能办得到的，当然你说安装数十个各种传感器实时模拟，这也是个办法，可问题是我为什么要放弃简单高效还安全可靠并且技术成熟、成本低廉的传统结构，去脱裤子放P、去画蛇添足、去徒增成本的弄那么个十年都用不到一两次的功能呢？从人体工程学的角度来讲，延迟、反反馈都是不可回避的缺陷，再先进的设备再高的算力参与，都快不过也精准不过大自然。从机械工程学的角度来讲，在任何力学系统中零件越多可靠性越差，明明几根半轴几个万向节就能做好的事情，你这又是电机又是传感器又是电气线路的，还都是些相对娇气得多的东西，任何一个部分哪怕只是轻微的电路接触不良都有可能酿成惨剧。从经济学角度来讲，如无必要，勿增成本，几根半轴和几个万向节的价格不信还能高得过又是电机又是传感器的一套系统，如果高得过，那只能证明这几根半轴和万向节的用工用料都是顶级的，而这套电动转向恐怕就得糙到不敢直视了。,2025-04-09 07:29:21,0,0,,未知,是,https://i2.hdslb.com/bfs/face/f9b20da64d892ffee4bec41abf956fe713c0e700.jpg
3,0,259075677985,5845672,我就是要起名,6,保密,查酒驾是为了你和别人的小命，来这一手是想骗过阎王了是吧。,2025-04-09 07:05:37,0,1,开心摸鱼又一天,未知,是,https://i1.hdslb.com/bfs/face/de737cd746a96742c07ced6c213aa25cf0429d90.jpg
4,0,259934384672,508492501,忘不掉的一个人,3,男,扯淡，中国汽车驾驶位在左边,2025-04-09 07:00:26,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
5,0,259075381105,453568469,大萝卜特甜,5,保密,副驾无证驾驶[微笑],2025-04-09 06:59:31,0,0,,未知,否,http://i2.hdslb.com/bfs/face/c3a498d1dc9652c34f7678f116cb48d0237a76c0.jpg
6,0,259074874673,1565286754,甘露封牲,5,男,你是说我的副驾有一个会开车有驾照，并且没有喝酒的人，我还要醉驾开，是吗？,2025-04-09 06:54:33,0,0,看见我发奇怪的东西就私信我我被盗号了，谢谢你们,未知,否,https://i1.hdslb.com/bfs/face/3e41c0cce8e19ccdd36422eb5e7a0dcba97b8b9e.jpg
7,0,259934081936,343437434,小僵尸好久了,5,保密,有锤子用，摄像头能给你拍得高清,2025-04-09 06:50:57,0,0,,未知,否,https://i2.hdslb.com/bfs/face/a19af3ef0934975dfa9017f128cef4eab7cee582.jpg
8,0,259933935296,234777347,啊废的自我修养,5,保密,好 调上个路口的摄像头,2025-04-09 06:50:47,0,0,,未知,是,https://i2.hdslb.com/bfs/face/9eaa48b7622ed7eba2e6199eeafaec040bae4231.jpg
9,0,259074741121,438847186,似竹不似毒,5,女,监控：精彩,2025-04-09 06:48:13,0,0,该说什么好呢...,未知,否,https://i1.hdslb.com/bfs/face/b7a8ecff2ae58939e0157798ff5284eb3fc99ecd.jpg
10,0,259933711088,87989916,yury幽蚺,5,女,那油门怎么猜，刹车谁踩，总不能副驾驶也有吧，那不很容易出事吗？,2025-04-09 06:47:12,0,0,幽蚺，一种怪物，蛰伏中,未知,否,https://i0.hdslb.com/bfs/face/7c5d9f3a53a39dd64e37362cda6e4d768cbf691c.jpg
11,0,259074620385,454723177,喜欢吃薯条1054,4,保密,sm酒驾,2025-04-09 06:46:18,0,2,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
12,0,259933611824,439156017,胖乐的爹,5,保密,国内不允许右舵车吧,2025-04-09 06:43:40,0,0,,未知,否,https://i0.hdslb.com/bfs/face/824721ec368a694d339a11cba1ea5ea98d3ec43d.jpg
13,0,259074448257,523634293,逛遍涩谷所有店,5,保密,查驾驶证怎么办，副驾要是有证为什么不让副驾驶开？,2025-04-09 06:43:11,0,0,,未知,是,https://i1.hdslb.com/bfs/face/8d273836b16b5b8297610acc5d1e2d78db32079c.jpg
14,0,259933487216,284929020,ye星芒,5,保密,你是说，副驾驶有个人会开且没喝酒，但是非要喝酒的人开车?是人啊?,2025-04-09 06:41:43,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
15,0,259933482272,436554527,美好的一彳亍,5,保密,本质不就是喝酒不开车吗？啊？,2025-04-09 06:41:32,0,0,,未知,是,https://i0.hdslb.com/bfs/face/member/noface.jpg
16,0,259074355313,1479819086,不想留痕,5,保密,线控，我怕方向失控,2025-04-09 06:41:16,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
17,0,259074095233,271289477,ZWHY_J,6,男,汽车厂家是想死了，做这种技术,2025-04-09 06:36:32,0,0,INFJ,未知,否,https://i2.hdslb.com/bfs/face/5f78e34b8c2727c2c9e4e7e6c8ac74150feb9262.jpg
18,0,259930744768,435989948,喵鑫rice,5,男,油门刹车不用挪吗,2025-04-09 05:53:22,0,0,"杂食up，偶尔直播游戏，喜欢就关注吧！
*･゜ﾟ･*:.｡..｡.:*･'(*ﾟ▽ﾟ*)'･*:.｡. .｡.:*･゜ﾟ･*
",未知,是,https://i2.hdslb.com/bfs/face/0270643ac69c6401927c4f7436ef9b350250be34.jpg
19,0,259071521041,390194376,八重云霁,6,保密,@夜听风铃,2025-04-09 05:48:13,0,0,愿此行终抵群星,未知,是,https://i0.hdslb.com/bfs/face/2d8e944afb5cce9c7fa902e53d502714ec90cd8c.webp
20,0,259070714161,14109292,AAA大运专拉钢卷陈师父,6,男,顺便把你那刹车油门踏板也移过来 还躲酒驾呢,2025-04-09 05:38:22,0,0,"“老弟别掏了，你手表都硌到我了”
“姐，那是我的项链”",未知,否,https://i1.hdslb.com/bfs/face/cfba82b77350955fd9298f6f6aff112219cdd3b2.jpg
21,0,259928489568,293310,吴所谓,6,保密,就非得喝酒了开，死都要开,2025-04-09 05:19:12,0,0,专注打野三十年，一朝出山崩天地,未知,是,http://i1.hdslb.com/bfs/face/cff8c6dee802383230b69bcb762d2d1971b43e4d.jpg
22,0,259069112369,3546879279237367,lv2gashato,2,保密,卡了怎么办？[doge],2025-04-09 05:12:33,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
23,0,259927300352,14378935,托马老師,6,男,监控一查一个不吱声,2025-04-09 05:02:37,0,0,,未知,否,https://i1.hdslb.com/bfs/face/46ef248fb11385565c900efffbe9e582742e7f1c.jpg
