三角洲行动|包含任务|研发部门黑市插曲任务
研发部门黑市插曲任务|需要准备|四只间谍笔
研发部门黑市插曲任务|需要准备|蓝室核心房卡
玩家|需前往|指定位置提交道具
玩家|需击杀|五名敌人
完成研发部门黑市插曲任务|条件|提交道具且击杀五名敌人
研发部门黑市插曲任务|任务要求|自备4只间谍笔
研发部门黑市插曲任务|任务要求|自备蓝室核心房卡
蓝室核心房卡|可通过|蹭队友或敌人获得
研发部门黑市插曲任务|击杀要求|击杀5名干员
研发部门黑市插曲任务|任务说明|任务不要求一局完成
研发部门黑市插曲任务|任务说明|战斗部门可升到4级
研发部门黑市插曲任务|具体完成点位|浮力室
浮力室|有|两个任务点
浮力室第一个任务点|位置|大坑底部保险柜前
浮力室第二个任务点|位置|顶楼楼梯边上的房间进门右拐最里边电视机前
研发部门黑市插曲任务|具体完成点位|离心机室
离心机室|需要放置|间谍笔
离心机室放置点|位置|二楼数据室门口储物箱
研发部门黑市插曲任务|具体完成点位|蓝室
蓝室|需要放置|间谍笔
蓝室放置点|位置|核心桌前双开门处
3DM小编|整理|《三角洲行动》研发部门黑市插曲任务攻略
3DM手游网|提供|更多相关游戏攻略
本文内容|来源|互联网
如有侵权|请联系|删除
