序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,261137850209,9617399,七八黑化小学生,4,保密,端游黑屏闪退赶紧修和敌人激烈交战的时候突然闪退，你让我怎么个说法？,2025-05-05 06:26:23,0,0,,未知,否,https://i2.hdslb.com/bfs/face/5c219866d0e911e0d11a8e9eb9c265fc2e550ed3.png
2,0,261045256705,690627466,henntaiZSJ,5,男,"什么时候把地图空气墙换成离开战区警告啊，或者是显示空气墙还是扩大飞行范围之类的
攀升开阿帕奇开到D点了结果做机动撞空气墙上炸了，要不然能百杀屠杀
空气墙真的很影响飞行体验，经常一不小心就撞空气墙上炸了，有气没地方撒",2025-05-04 05:48:31,0,0,,未知,否,https://i1.hdslb.com/bfs/face/6106c247539f706d685061c446ff17ba12aac889.jpg
3,0,261932648048,3546643156699310,MAXLIU1254,3,保密,黑鹰坠落加入手机吧，画质差也没关系的!,2025-05-03 14:21:54,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
4,0,261374682368,1859930829,地铁逃生一个路过的菜,5,男,陀螺仪的问题呢？左右晃的时候是上下上下晃的时候是左右。,2025-04-26 22:16:18,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
5,0,260128561505,3546695453378976,bili_96731703692,2,保密,主战坦克能不能防御加强一点？我只能在远点打狙,2025-04-22 14:05:58,1,2,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
6,0,259889757265,3546716437481585,想不出名001,2,男,我就想问手游怎么架枪[无语],2025-04-19 14:05:17,0,0,,未知,是,https://i2.hdslb.com/bfs/face/7abf75ad3cd31a53415f891dd17c22aef96d9330.jpg
7,0,259715365937,3546590839049083,-汪汪兽,3,男,能不能把自动开镜精确到哪把枪啊，狙击左轮和G18不好直接换,2025-04-17 11:09:23,0,0,,未知,否,https://i1.hdslb.com/bfs/face/65e533cbe98aa75f34646e0bc03472c9e35054db.jpg
8,0,256172314928,383704803,smlz329702060,5,男,HELLO  王宇浩,2025-02-23 07:57:07,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
9,0,255288945489,3546595735898477,京局京段的轨检漏拍王,2,男,什么时候可以摧毁载具助攻分数高一些吧，可能坦克（高威胁）我打了90％的血，然后被队友抢了，太欺负人了,2025-02-21 11:55:52,0,1,我们需要闪击波兰！,未知,否,https://i2.hdslb.com/bfs/face/01f761df911c759b692f6ada65abc4274b0925b5.jpg
10,0,255771981680,2076342431,哈夫克安防集团,4,保密,什么时候给乌鲁鲁燃烧弹出个白磷弹配方  如果考虑平衡性因素的话那就把白磷弹持续时间减少范围也减少  唯一优点是被燃烧到的干员会持续燃烧无法扑灭,2025-02-18 17:34:34,0,0,,未知,否,https://i2.hdslb.com/bfs/face/8da96b3123850aa93e74f837973da13d5b533bca.jpg
11,0,255454597904,1059220837,瓦尔特_卡斯兰娜,4,保密,深渊出了以后，阳光盾牌一直搞我,2025-02-15 07:31:22,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
