序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,261143236929,3493128103266769,无脑自卫,4,保密,最平静的一集,2025-05-05 07:42:27,0,0,什么都混的人才 ,未知,否,https://i1.hdslb.com/bfs/face/607db3bcd57a2004fc4085860041f92921bc18e6.jpg
2,0,260961216609,3546893080595173,小福贵哟,2,男,吃爽了呀这个,2025-05-03 06:38:21,0,0,,未知,否,https://i1.hdslb.com/bfs/face/a46299be4af6c114b33e15881c7f90fb08e6191b.jpg
3,0,260880195681,2969160,生涯現役一日一殺,6,保密,我跑过这种局[笑哭]加上尸体吃了三百多,2025-05-02 07:47:25,1,1,你来看什么呢ヽ(。_°)ノ,未知,是,https://i0.hdslb.com/bfs/face/5ffc9336d7b309c65b21055795ced179bf0cb898.jpg
4,0,260530889633,355597874,脑内游戏酱2号,6,保密,也就是说航天中心地带所有的物资加起来也就500w这么多队人才这么点[辣眼睛]  要是别的队都吃  每人只能分点屎吃,2025-04-27 20:59:29,0,0,,未知,否,https://i2.hdslb.com/bfs/face/63f7b52fc2323364b18e4a2958f17d82302ebd3a.jpg
5,0,261107179296,3546724624763015,雪白的消音器25,3,保密,我现在就很好奇，为什么弹幕里面全是那种1000w没出龙的，现在不是s4吗？还是说我他妈穿越时空了,2025-04-23 13:07:05,0,0,,未知,否,https://i2.hdslb.com/bfs/face/882e34d73ba99ef3ff289886bb91b46c3fc722f4.jpg
6,0,260137993361,3494369323649563,将爱铸进巡飞弹,3,保密,BGM是啥,2025-04-22 16:12:59,0,0,,未知,否,https://i1.hdslb.com/bfs/face/347031846425b64c0d421e634e3e796c8ee5d440.jpg
7,0,260136566993,1666861495,星辰风景star,5,男,传染了[doge],2025-04-22 15:49:53,0,0,,未知,否,https://i1.hdslb.com/bfs/face/ef8d42f99012057744aa71fe1ee3c7e9c03642b7.jpg
8,0,260123188865,2014942863,欧枫多多,4,保密,不是哥们儿，记得一个星期前，我们在打死两队，然后结果被一只老鼠给一穿三了，就在蓝室和黑市道上,2025-04-22 12:58:49,0,0,,未知,否,https://i0.hdslb.com/bfs/face/91c5b71f661709604840fd16e38b32054266f7d6.jpg
9,0,260011150753,3546693129734398,纸片猫zhipianmao,2,保密,"纯绿手游大坝手打跑刀哈夫币
5＝100W
23＝500w
40＝1000w
保险多格可议价
会小动仓库，差的哈夫币会补，纯绿，只跑大坝
打前仓库，资产截图，摸到大红大金或板板需要的可算价值",2025-04-21 03:49:38,0,0,需要可加企鹅1917926509,未知,否,https://i1.hdslb.com/bfs/face/3a96918ce734f9b1be84bf21b9e6c7dccfc8262a.jpg
10,0,259963881889,649047751,不要阴阳我我五年级,4,保密,两百小时今天终于出心了[千恋万花表情包_不愧是我],2025-04-20 11:17:12,1,3,寄寄寄寄寄,未知,否,https://i1.hdslb.com/bfs/face/d3c40010dfd5fb7b92374010d4181c0317f90d40.jpg
11,0,259946540593,3546880403311381,原神任安心,2,保密,游戏ID任安心,2025-04-20 07:19:20,0,0,,未知,否,https://i1.hdslb.com/bfs/face/d5ddd60ed0ca9fece8930eb2222249af934ac8e3.jpg
12,0,259946624801,3546880403311381,原神任安心,2,保密,主播，能帮我扶贫吗？,2025-04-20 07:19:07,0,0,,未知,否,https://i1.hdslb.com/bfs/face/d5ddd60ed0ca9fece8930eb2222249af934ac8e3.jpg
13,0,260843471360,3493280606062704,墨㯗柒,4,保密,今天无名绝密巴克什出生丢包撤，搜完去出生点偶遇刘涛大人，刚开始一梭子紫蛋甲都没碎，打完一看刘涛大人，爽吃三百万,2025-04-20 06:54:26,0,0,,未知,是,https://i0.hdslb.com/bfs/face/e87a297f11d437e63c4681408eabbad93ddaac86.jpg
14,0,260829455936,1787756311,bili_96944967796,2,保密,说实话 第一次见他一把就扶贫成功,2025-04-20 04:03:45,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
15,0,259922373937,3546880952765176,凌晨两点半54088,2,保密,没有黑夜之子赛季，q区做3×3保险任务要做的话加我一起做。名:零晨两点半,2025-04-20 02:06:31,1,0,,未知,否,https://i1.hdslb.com/bfs/face/824ee4c54be13273210c7dee9e89d266fc1d7b72.jpg
16,0,260785161552,1278523,杰夫奥兹Prime,6,保密,给本鼠鼠看爽了！,2025-04-19 13:54:47,0,0,努力让自己不裂开。,未知,否,https://i1.hdslb.com/bfs/face/a5ad1e1fc48209c373a2ac88e8a9cba2e3873a65.jpg
17,0,259886706161,698091875,萍雪一捧,5,保密,武魂真身了,2025-04-19 13:32:28,0,0,,未知,否,https://i2.hdslb.com/bfs/face/db9377d177aa0fd27710259d0b3b0b5192c43aef.jpg
18,0,259857692529,12608070,贫穷的小乞丐,6,男,我的呢 我的呢？[少女乐队的呐喊表情包_摇滚],2025-04-19 07:14:54,0,0,,未知,是,https://i0.hdslb.com/bfs/face/029e278ba6e5dbbe2ce7b19ffd3bd1116041a588.jpg
19,0,259847993297,512461664,余辉qwq,5,男,杨起家在哪直播啊？,2025-04-19 04:54:37,1,0,路总有尽头，重要的是要去走完,未知,否,https://i2.hdslb.com/bfs/face/782b2debc2aecc5600da7206c1e290be3cd4cc43.jpg
20,0,260726791248,3546597254236223,bili_19086468414,3,保密,盾构，你怎么染上巡飞弹了？,2025-04-19 01:17:24,1,5,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
26,0,260705948720,3546831780841518,堂吉诃德-血魔眷属,3,保密,几百万抽龙？我都是直接用免费的抽出来了,2025-04-18 15:29:06,10,9,,未知,否,https://i0.hdslb.com/bfs/face/4dcc457842b5230ecc741227756d1ab1809645cc.jpg
27,0,260704870112,3493271437314223,里AZ的角,4,保密,这背景音乐是什么呀？真的挺好听的。,2025-04-18 15:17:53,0,0,,未知,否,https://i1.hdslb.com/bfs/face/5f9a0df66cf3d875839157f732f84b3e9e26ba36.jpg
28,0,260688726192,270126525,聆听灭绝的死,6,男,byd这些人光打不搜啊 总裁都没人也太夸张了,2025-04-18 12:06:23,0,0,,未知,否,https://i0.hdslb.com/bfs/face/a8fccff7cf5dd575d0161182dfbe08a6204d6878.jpg
29,0,259792842657,2077671358,蚯蚓大王ovO,4,男,第二个哈基米的小曲叫啥？,2025-04-18 11:19:12,0,0,,未知,否,https://i1.hdslb.com/bfs/face/5dcb785754113e09ac8ce11061afbcd36444904a.jpg
30,0,259782683185,184843254,如此该睡觉了,6,男,"借楼，正常跑刀，不自杀进黑屋，学生骨折无事9r=100w哈夫币
85r=1000w哈夫币 3kw以上有优惠
3*3任务全包约850
纯绿手搓，全程开直播，需要的老板私聊我
需要留金留红提前说明",2025-04-18 09:13:36,0,0,需要加vx：juexiang714，qq：2732388611,未知,否,https://i0.hdslb.com/bfs/face/b8abe9afb5ad95997f3d90f2ebb89685631212f8.jpg
31,0,260671006960,1334739343,乒科特斯基,4,男,M0.07？,2025-04-18 08:30:13,1,6,,未知,否,https://i1.hdslb.com/bfs/face/f5ad3fceec86f49bcdc70a515e8263477292362d.jpg
32,0,259779208241,1103516466,wo御萝,4,保密,这玩意也没破产啊[doge],2025-04-18 08:18:10,0,0,,未知,否,https://i0.hdslb.com/bfs/face/733a769bb924f8688f688807060550cec664498d.jpg
33,0,259769127425,1717253895,巠㲻,5,保密,一个十连出的，后面又出了个佐亚,2025-04-18 05:18:14,0,0,,未知,否,https://i0.hdslb.com/bfs/face/eecef43ba66de7cacdf8fb50b46448b7e2fc3e94.jpg
34,0,260653933104,620255745,533_SAMA,4,男,00:02,2025-04-18 04:08:33,0,0,,未知,否,https://i0.hdslb.com/bfs/face/22d57f61f3e3b94c5376638c4fedc1e0d4331b2e.jpg
35,0,260635930544,3546705458891212,水神钟离离,3,保密,那我玩个球啊,2025-04-17 20:44:57,1,1,,未知,否,https://i1.hdslb.com/bfs/face/783cac764ef47c9fb769440c628bcc5d1c23a1da.jpg
36,0,260634351424,3493130470951013,迷失与你,5,保密,我的威龙好像有点与众不同啊,2025-04-17 19:08:38,6,11,生日蛋糕是青春的墓碑,未知,否,https://i2.hdslb.com/bfs/face/a2e92beb6e5123cafede3374a7db5981f313a916.jpg
37,0,260634126640,535030020,DHJ电竞商行阿神,5,男,礼貌借楼出号收号,2025-04-17 18:55:37,0,0,三角洲DHJ俱乐部商行，哈夫币换米加wx：DHJ-0106,未知,否,https://i0.hdslb.com/bfs/face/e58a433c12f6045aa5e83bd1188cb9fdcceefabd.jpg
38,0,260633911744,519295223,北江OL,5,保密,哥们被我说破防了哈哈哈哈[喜极而泣],2025-04-17 18:49:01,2,32,哇咔咔,未知,否,https://i2.hdslb.com/bfs/face/8e5cb0ea5a1566fa7f42f94d6f74cb88af4f2ebd.jpg
39,0,260631951120,38005005,耶熊了呀,6,保密,今天语音系统有问题，把把都是语音延迟或者干脆就讲不了话。还有领奖励和交易也有延迟，等一会才能领到东西。,2025-04-17 17:42:43,1,5,月亮会反射太阳的光辉，当太阳和月亮同时落下，群星便会绽开光芒。,未知,是,https://i0.hdslb.com/bfs/face/d26086f6c2d97d6772c54cea97bb1a2e15f4e032.jpg
40,0,260628360672,328095040,比利海灵顿___,6,男,跑刀砍死老大全家老小的奖励,2025-04-17 16:28:19,0,2,ⓘ该账号封禁中,未知,是,http://i1.hdslb.com/bfs/face/9099999383fad2b2d97c6b397844f81ae361d33e.jpg
41,0,260627864768,1273922204,逍遥辰仙__世界城,5,保密,"三角洲代肝哈夫币
纯币，纯绿色，可以微信联系
四格保险100万/10r
六格保险100万/8r
九格保险100万/6r
超过一千万打九折
端游手游均可",2025-04-17 16:22:07,0,2,,未知,是,https://i2.hdslb.com/bfs/face/e7f67337ac680ce79f38987b7b51acff7169e857.jpg
42,0,259737801153,485862164,使不得啊,6,男,大学生护航，1r=10亿，纯红玩，进图不演直接开，满改M700全自动改装套件，三把不出步战车我开步战车给你清图，五把不封号我自己毁号，有意者私[doge_金箍],2025-04-17 16:03:58,0,0,使不得啊！,未知,是,http://i2.hdslb.com/bfs/face/8931124bafcb666f34453a096bf69273924fbea6.jpg
43,0,260625055376,1425647219,哥布林战士114,5,保密,2700万[doge][doge][doge],2025-04-17 15:41:49,0,0,,未知,否,https://i2.hdslb.com/bfs/face/7168065e559fc9989cc8c8b8bfaec325edf6f704.jpg
44,0,260623406928,3546841815714740,谢千河,3,保密,这是什么？,2025-04-17 15:22:26,0,0,,未知,否,https://i2.hdslb.com/bfs/face/c159c7b61b8fbe899701dbd07c6adfa0e8309b6f.jpg
45,0,260622768624,1022363545,富有理想的现实主义者,5,保密,当时还是个在榜[笑哭],2025-04-17 15:14:27,0,3,,未知,否,https://i1.hdslb.com/bfs/face/bb790d487edb3da6ee242921583ade6d44d6f918.jpg
67,0,260616846720,1191389521,无敌闪光大王-市一鸣,5,保密,这是啥,2025-04-17 14:03:51,0,0,,未知,否,https://i1.hdslb.com/bfs/face/865936c42382af83ea0dc64b59c885126ce27847.jpg
68,0,260614412032,508855540,电竞龙尊,3,保密,"抽龙抽了8,000万[大哭]",2025-04-17 13:33:18,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
69,0,259725498561,650275989,慕蚩,5,男,这种就是脑瘫局，本来搜打撤撤的游戏没人去搜全打架了，那你这么喜欢打架为什么不去大战场呢？这是摸金模式啊,2025-04-17 13:27:19,0,0,,未知,是,https://i0.hdslb.com/bfs/face/4bd99bbe6e4fb050284445e2172e2a5a99c866ec.jpg
70,0,259724188417,3494372507125955,Sonetto的dog,4,保密,笑死我了,2025-04-17 13:08:14,0,0,"出没在1999各种视频里的忠诚小狗

",未知,是,https://i2.hdslb.com/bfs/face/045ab34006838c9d471f4f9f2b0ca746483e631c.jpg
71,0,260612270736,3461572118710903,企鹅11451,4,保密,[doge],2025-04-17 13:07:17,0,0,,未知,否,https://i1.hdslb.com/bfs/face/6ead02554538240477096b26f4db5c798262fb5f.jpg
72,0,260612012480,1029361237,苏尔巴托,5,保密,什么玩意[吃瓜][吃瓜][吃瓜],2025-04-17 13:03:46,0,0,"摸鱼摸鱼
",未知,否,https://i1.hdslb.com/bfs/face/542b13341e60a89a232fd422fe3dfb08d965438d.jpg
73,0,259723483185,412820551,AAA哥布林大王,5,男,今天雷斯给货了[星星眼],2025-04-17 12:59:03,0,0,这个人很懒……,未知,否,https://i1.hdslb.com/bfs/face/6e681406fd5497bd4ea7fcac254bd41296e66d81.jpg
74,0,260609819104,524368447,你从星空奔向我,5,保密,无敌了[笑哭],2025-04-17 12:36:16,2,41,你从星空奔向我,未知,是,https://i1.hdslb.com/bfs/face/5b3defe366fc17e423165ae33d8921e04048f28f.jpg
75,0,260606157424,470167049,PCYUYU预言家,4,男,红医?[星星眼],2025-04-17 11:48:52,0,0,主播主播，你的更新速度还是太慢了,未知,否,https://i2.hdslb.com/bfs/face/a00eb88f07ed3e65561fe8de6ac6d23ecb9f13d0.jpg
76,0,259712370497,1217464174,想看你0721,4,保密,这玩意可比激素枪好用,2025-04-17 10:30:31,0,0,,未知,否,https://i1.hdslb.com/bfs/face/a4af07337df6d1b4f346280b1cdc348283a42af0.jpg
