序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,262076946416,1842113940,莲心银铃,3,男,看完主播视频狂吃一千二百万感谢主播,2025-05-05 06:26:09,0,0,,未知,否,https://i0.hdslb.com/bfs/face/87c20eeed880331c19376021c0e236ea191f2f74.jpg
2,0,261089180353,122093499,楠姬シ,6,女,2:45为什么他开保险不用输密码😢😥,2025-05-04 14:48:06,1,1,陌上花开，可缓缓归矣。,未知,是,https://i0.hdslb.com/bfs/face/347031846425b64c0d421e634e3e796c8ee5d440.jpg
3,0,261988146752,508704537,好烦开会,5,保密,出油被寻血猎犬逮捕了[笑哭],2025-05-04 07:13:05,0,0,,未知,否,https://i0.hdslb.com/bfs/face/685e544fa66516c311d23ba3c2d4f59c703c2f28.jpg
4,0,261952968304,134750316,猫meme历险记,6,保密,重金悬赏500块，对局是2025-05-04 05:39:59的绝密航天，队伍有威龙露娜，堵桥狗加堵闸，打了暗号也不接。最后堵撤离点让我一个出油的鼠鼠 m完全大破防，我要他们的所有信息，我要报复他们,2025-05-03 20:24:35,1,0,记录生活罢了,未知,否,https://i0.hdslb.com/bfs/face/5caa736cac44fb560e80f17afa90d5284c52a92f.jpg
5,0,261902614304,35655438,Isdant,6,男,发射区离心一号位为什么没人去，而且西大没开运气也是不错的,2025-05-03 08:17:23,0,0,,未知,否,https://i0.hdslb.com/bfs/face/94bac062250b9a6f41b106587223bf18ffa8adb9.jpg
6,0,261898142672,1347248507,不巜乐的快乐,5,保密,@娜恰恰恰 @终于找到你了-哈尔 @Creed_R226,2025-05-03 07:09:37,0,0,·,未知,是,https://i2.hdslb.com/bfs/face/6bac5b4c02e70091456bee3f3eec48a475c2d1cf.jpg
7,0,261625389024,451781121,卫队sama,5,男,为什么地图不一样，我的浮力大坑都是沙子,2025-04-30 03:42:04,1,0,所有事物都有尽头，唯独思念没有。,未知,是,https://i0.hdslb.com/bfs/face/7607bdaf81c01f300a574b27dc279111fc3714f2.jpg
8,0,261124552032,507694720,绝响ww,2,男,"借楼，正常跑刀，不自杀进黑屋，学生骨折无事9r=100w哈夫币
85r=1000w哈夫币 3kw以上有优惠
3*3任务全包约850
纯绿手搓，全程开直播，需要的老板私聊我
需要留金留红提前说明",2025-04-23 16:59:37,0,0,三角洲代有需要的加我vx：juexiang714，qq：2732388611,未知,否,https://i1.hdslb.com/bfs/face/a9c457420ba75e0c85c4f69cfe0ca380d2214999.jpg
9,0,260981308576,3493264390883712,是幕风呀,3,男,离心服务器室进门左边地上会刷黑匣子,2025-04-22 00:12:04,0,0,,未知,否,https://i0.hdslb.com/bfs/face/bc0171f15827daab0248de943d6f76990c74ef40.jpg
10,0,259912253825,187803264,营养韭菜盒子,6,女,昨天卡战备落地劳大位，劳二是个威龙被劳三麦晓雯吃了，然后他不去楼里吃饭硬要找鼠鼠，搜了八分钟把我拽出来杀了，笑嘻了[滑稽],2025-04-19 21:08:20,0,0,那我缺的这营养这块谁给我补啊？,未知,否,https://i0.hdslb.com/bfs/face/89cb0ce50c9c7b8f7ef28a27cbbb3df3a77417d7.jpg
11,0,260530274576,1417989728,弹幕环境已没救,5,男,已经起飞了芜湖！,2025-04-16 11:59:24,0,0,,未知,是,https://i2.hdslb.com/bfs/face/f07f10924313de82ba9ab58b594fd19790c54713.jpg
12,0,260529614016,1171122119,gizm01,5,保密,雷总卡战备带的什么？,2025-04-16 11:50:40,0,0,所有相信奇迹的人，本身就和奇迹一样了不起了不起,未知,否,https://i2.hdslb.com/bfs/face/4a385529d95bf2899fa7246e140a7dc7246d7fa3.jpg
13,0,260376007664,407316517,过激蒂厨,5,保密,牢三位置吃牢二垃圾见到红卡,2025-04-14 12:35:13,0,0,每天坚持玩西奈沙漠,未知,否,https://i1.hdslb.com/bfs/face/f35777e97c84e603f8e69405d8767f0a211bd559.jpg
14,0,259876011136,59476621,凝雨之下,6,保密,为什么要扔背包,2025-04-08 11:51:17,1,0,凌晨四点半，我看见海棠花未眠,未知,否,https://i1.hdslb.com/bfs/face/5d5400bd182a9c3d739c626b51f32e0f968887c7.jpg
15,0,259865373328,3546699331012943,Hoshino__Ai,4,保密,我见过员二不开卡单3威龙，趴在员工通道蹲我老二越狱的,2025-04-08 09:41:30,0,0,暂时可接少量wws代肝（纯绿玩）,未知,是,https://i2.hdslb.com/bfs/face/f9116483af6c1b188781c42e90bb4548a2c9a278.jpg
16,0,259607261968,3546750608476326,11163443673,2,保密,我来忏悔一下，我在离心机上面吃保险，下面人在打，打完还被我打死了，关键是他们有一张，福利室医务间没拿,2025-04-05 08:52:02,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
17,0,258500107649,3604889,夏夜空依星,6,保密,挂哥 嘿嘿嘿地上刷野生大红了[doge],2025-04-02 07:45:27,0,0,新人上路，多多指教,未知,否,http://i2.hdslb.com/bfs/face/50c5a1eb9cd035f9ad94d0600a2a1b5eb958afb0.jpg
18,0,258466264897,406467588,一颗轩果儿,6,男,我的锅是在宿舍楼那个电视下边柜子刷的，两个队友跑过去跑过来都没看到，被我惊鸿一瞥[笑哭],2025-04-01 18:36:29,0,0,,未知,是,https://i0.hdslb.com/bfs/face/db8286ffe89ffd8564dbf10145adc0fa3c2e42e4.jpg
19,0,259220019328,177876129,战争结束就结婚,5,保密,刚机密跑刀出了刀片服务器直接去找鸡哥借个背包 然后剩余20分钟 一出离心就发现鼠道有狙   退回来找个角落一趴动都不动 一个狗比乌鲁鲁就直奔而来 纯寻血猎犬,2025-03-31 23:21:31,0,0,,未知,是,https://i0.hdslb.com/bfs/face/f3a245f8a484debe29f009f013f1a52f57fb4729.jpg
20,0,258974380160,351520526,偷妈头9731,4,男,爽！,2025-03-29 04:20:02,0,2,"抢别人家是不对的...
是啊，不对，可我不是故意的！",未知,否,https://i2.hdslb.com/bfs/face/8e342c73d8079a5ff74a121304ea80d221ec7968.jpg
25,0,256655991377,1557924464,安徽播种机,4,保密,"8 = 100w
15 = 200w
40 = 500w
70 = 1000w
长期需要的老板可以60比1000
前俱乐部纯绿玩跑刀，已结70多单，全程交易走闲鱼，闲鱼信誉极好，有二十几位老板交易记录，拒绝中介，诚心的老板来。",2025-03-10 09:18:31,0,0,,未知,否,https://i2.hdslb.com/bfs/face/4aa0e8fa91720ddffd31786c33d17632d75ddd8e.jpg
26,0,256590531729,522760787,我叫落鲸,5,保密,密码的五套五弹的核心一个，里面小红室一个，楼下还蹲了一个，最后上来抢包了，还好啥都没出，我就说怎么不拉直升机，去飞升，我还以为是没吃饱，去加餐的。呜呜呜猛猛炫乌鸡蛋,2025-03-09 11:25:14,0,0,"这个入很神秘，什么都没有写
",未知,否,https://i2.hdslb.com/bfs/face/7622fe500d64cac1ba2b7311a25ef904d2311551.jpg
27,0,256570877201,3493267773589969,killer-涂某人,4,男,@-文件夹子- 雷总叫你打三角洲,2025-03-09 06:58:31,1,1,微信号：tchkai0110,未知,否,https://i1.hdslb.com/bfs/face/85249d757792d18a028bc4201887c6b639dd6ec8.jpg
28,0,257060365696,104281243,死星1997,6,男,看完了，很刺激，但是觉得好难啊。。。我还是去普坝吧,2025-03-05 23:32:49,0,1,历史学博士，偶尔打DOTA2,未知,否,https://i1.hdslb.com/bfs/face/e48d9f54a7149ca9dbd1eb2bd2a21b95f7ceabf6.jpg
29,0,256925453312,54877826,苇茗囧菌,5,保密,雷军图片能发下不,2025-03-04 06:10:12,0,0,.,未知,否,https://i2.hdslb.com/bfs/face/8dd54a68bc57f8f04636c10145be5438b6bfc834.jpg
30,0,255993139025,1326418987,因雨tenm,5,男,"对航天各个区域的刻板印象
牢大:狙神
中控楼:狙神
发射区:堵桥go
西区大门:堵宿舍楼
宿舍楼:快点跑，待会儿西区大门的就过来了
牢三:坐牢坐到底，开吊桥可能碰到发射区的人，往前走可能碰到牢二的
牢二:最轻松的一个，可以放过牢大堵牢三也可以去蹭个二员，就是容易被堵
二员:过二员必被牢大抽，过桥必被楼上抽，蹲着不走也会被牢大捉，就算牢大不捉牢二也会来，二员去浮力的都是神人。",2025-03-02 02:36:44,0,3,冰 因,未知,否,https://i1.hdslb.com/bfs/face/2f315be47048407b6cf4e6564d8c2867e59e9cc0.jpg
31,0,255915397265,2041068496,无糖爱音,5,保密,跑刀是单人三排还是单排比较好，还是说匹配队友会好一点吗[笑哭],2025-03-01 05:30:52,1,0,,未知,否,https://i1.hdslb.com/bfs/face/2c1d23bec03d5c846ce573f856bf34a4bd8b1a63.jpg
32,0,256373935472,402970812,宝贝儿你钱呢,5,保密,求搭子有没有一起玩的，刚玩两天纯新手,2025-02-25 16:43:50,0,0,初次为人，请多指教,未知,否,http://i0.hdslb.com/bfs/face/10d7795dcbc015c0f9abc55b91985dd52d36f5d3.jpg
33,0,255568520193,151216159,黄心鬼畜果,6,男,这也太假了。能在无人条件下吃四个保险啊。概率多小啊[笑哭],2025-02-24 18:20:20,0,1,"可莉区up 原神mmd 偶尔接私活
动作在vx 黄心鬼畜果mmd",未知,是,https://i1.hdslb.com/bfs/face/dc10a32ae290989be8ef1f545c3cd20c4d6bd0d1.jpg
34,0,255607947680,489835920,没什么好看的别看了,6,男,普坝魅力时刻[OK],2025-02-16 21:38:47,0,0,,未知,是,https://i0.hdslb.com/bfs/face/c57d58c0742ea32e4dcaff0f38cbe3040a1c9e06.jpg
35,0,254820539665,3546627555985764,56445人击,3,保密,机密都有玩乌鲁鲁堵桥的[笑哭],2025-02-16 00:20:14,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
36,0,254553038817,2018095663,Renascencek,3,保密,东区吊桥和锅，在丢包小房,2025-02-13 03:48:44,0,0,,未知,否,https://i1.hdslb.com/bfs/face/39ea4d187b13b372b867f3ecc6e26704f4d1a24a.jpg
37,0,254553038785,2018095663,Renascencek,3,保密,东区吊桥和锅，在丢包小房,2025-02-13 03:48:44,0,0,,未知,否,https://i1.hdslb.com/bfs/face/39ea4d187b13b372b867f3ecc6e26704f4d1a24a.jpg
38,0,255172096112,2031958032,坐等终末地,3,男,跟着雷总学跑刀，鼠鼠也能百万撤离了[星星眼],2025-02-12 09:34:54,0,2,,未知,否,https://i0.hdslb.com/bfs/face/c92442b6b8d867e662dba9a641ff2341f60a187c.jpg
39,0,255017591968,527133742,正在力尽倒下,5,保密,@雷军,2025-02-10 20:40:52,0,0,六百六十六,未知,否,https://i1.hdslb.com/bfs/face/42a7daa1e6054083000eef38296afd62dae338d3.jpg
40,0,254950504608,2086029047,bili_73467710272,2,保密,忏悔十1[大哭][大哭][大哭]普坝听到脚，架死了,2025-02-10 06:15:18,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
41,0,254673113600,605747125,TangYuan_V,5,男,(｀・ω・´),2025-02-07 09:39:11,0,0,国服混子罢了,未知,否,https://i1.hdslb.com/bfs/face/0561f84211edc1ea39a183e7247ecd032c730b60.webp
42,0,253945112369,224695353,灰色肥猫,6,男,普通长弓[doge],2025-02-06 15:29:45,0,0,(禁言3天版)选择性装傻，间歇性眼瞎，持续性哑巴，是个麻瓜,未知,否,https://i0.hdslb.com/bfs/face/297d98729ad1d8c7f999a6ea869bebb81b61c045.jpg
43,0,254601152432,1245977806,批发99,5,保密,666,2025-02-06 14:03:25,0,0,玩家群812710520交流群534076045,未知,否,https://i1.hdslb.com/bfs/face/715995f5ba32ed21101a4b2940cd2eb6ac8645c8.jpg
44,0,254562999488,701931571,大丶爱丶仙丶尊,3,保密,依稀之前一局偶遇三cs组队玩乌鲁鲁,2025-02-06 07:04:20,0,0,h,未知,否,https://i1.hdslb.com/bfs/face/82890bc517d694776a531266cb5567a7e7fdc20e.jpg
47,0,254558668896,239844402,不错吧唧,3,保密,正常情况很难撤,2025-02-06 06:09:52,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
48,0,253781437201,293655275,泠貓zhQAQ,5,男,为什么每次我机密，撤离的时候都是满编队来找我，就算我们去做飞升者，对面也是满编，穿五甲喂我乌鸡蛋,2025-02-05 01:35:24,4,4,这个人很勤快，虽然写了，但是没完全写... ...,未知,否,https://i2.hdslb.com/bfs/face/a3036fd26e7e4f1a6c6d2b1c10de5005ab50165a.jpg
49,0,254176528416,407414611,砂糖白子单推人,5,保密,压缩刘涛是什么梗[微笑],2025-02-02 06:11:00,0,0,,未知,否,https://i1.hdslb.com/bfs/face/d5f6e1233f1d5c16e7f7fec2d63490076feab8ab.jpg
50,0,254106927408,1611389717,王者世一歌,4,保密,为什么你遇不到人？,2025-02-01 11:29:30,0,0,,未知,否,https://i2.hdslb.com/bfs/face/addc6485d8957e4f2353bc32746232d26644d019.jpg
51,0,253893493120,2043625820,牛奶虾王,4,保密,还好我技高一筹，坐火箭跑了，差点被人用乌鸡蛋喂饱了[歪嘴],2025-01-30 05:54:16,0,0,,未知,否,https://i2.hdslb.com/bfs/face/be2edc354cfce662ea56e241f11bc680076ab5ac.jpg
52,0,253074234225,1209820088,柴郡大玉,5,男,为啥我电脑都听不到人😭手游都可以听得到,2025-01-28 05:29:14,1,0,阿巴阿巴,未知,否,https://i2.hdslb.com/bfs/face/c2d3797eec5750bad76ef266ef296fb9fe7542d4.jpg
53,0,252859551329,510618264,Hanat0,5,男,神人啊我这把，我难得想吃个牢饭，还是开了14分钟到的牢区，居然还有人在牢二蹲着，直接把我打进牢三斗地主了,2025-01-25 20:48:22,0,1,,未知,是,https://i0.hdslb.com/bfs/face/47faf125c7048d31906ad79134bf64ae2e64e694.webp
54,0,252723393249,510618264,Hanat0,5,男,我牢三一落地就被牢二堵，我还是单人丢包撤走法，感觉一看到出生在牢三就可以扣子弹塞裤裆了,2025-01-24 10:53:41,0,0,,未知,是,https://i0.hdslb.com/bfs/face/47faf125c7048d31906ad79134bf64ae2e64e694.webp
55,0,252529859601,480559183,7-ast,5,保密,嘿嘿,2025-01-22 11:19:24,0,0,,未知,是,https://i1.hdslb.com/bfs/face/dd3bd253b703cfc1eaf08ad3e2129ac733a98b3d.jpg
56,0,252431841729,3494371959769191,爱晒太阳的卷心菜,4,保密,这是我第二次打航天，在一个井盖和一个很偏的盒子里边说出了这两个大红，我走都不敢走，因为我是二套凑战备进去了，在牢区蹲的时间太长，最后时间不够了，走的跳水撤离。。。[大哭][大哭],2025-01-21 12:33:52,0,0,,未知,是,https://i0.hdslb.com/bfs/face/d334ed94f4b336d639dc1be29b861ed1b0147c60.webp
57,0,252934389120,1018829036,熊大虫二,3,保密,根据野史记载，老飞宇就是因为用乌鲁鲁的巡飞弹把绝密航天跑刀出了火箭燃料准备当素材局的雷总给炸死了，然后雷总红温了准备让小米手机炸死所有乌鲁鲁，所以老飞宇只能用威龙当了[doge],2025-01-20 12:14:09,1,1,,未知,否,https://i2.hdslb.com/bfs/face/9fc38faacd38d2cfdc7300c56632f5d7004d5dd5.jpg
58,0,252317424177,3546556160542784,Rpice,4,保密,所以有没有大佬带我去跑两把刀啊[doge]真不会跑，看也不会，拜托[脱单doge],2025-01-20 08:35:23,0,0,,未知,否,https://i2.hdslb.com/bfs/face/7a72c06beb94ba49be7dde6b23a7fff43967491d.jpg
59,0,252317224849,385618088,封渔,6,男,@白羊毛猫 @哈欠Z 雷总高见,2025-01-20 08:31:33,0,0,混子混子混子混子混子,未知,否,http://i2.hdslb.com/bfs/face/841399459bec91fe7fe73846a53d2e1078d59604.jpg
60,0,252859298832,2016422913,飞蜥流水线管理优莱卡,5,保密,不懂就问。绝密必定刷老太吗,2025-01-19 15:33:15,0,0,,未知,否,https://i0.hdslb.com/bfs/face/4c494951e4ceb81a90f3730145868d7e3be7bfaf.jpg
61,0,252811273536,1402126147,砂狼红子凯,4,保密,我真怀疑我玩的是绝密大坝又是军用终端又是刀片服务器的还有显卡和万足金条,2025-01-19 06:12:28,0,0,,未知,否,https://i1.hdslb.com/bfs/face/6856d2e19517a3f544aeae4f7fc567fa733530de.jpg
62,0,252611770000,501047718,日夕月潭,5,保密,@抱住南不放手,2025-01-17 04:20:08,0,1,yellow flash,未知,是,https://i0.hdslb.com/bfs/face/6adbfe436e796a83dbdb3c57644e6c9c797e11cb.webp
63,0,252025600001,470265387,锦鲤之子,5,保密,确实不如[doge],2025-01-17 03:47:29,0,0,,未知,否,https://i0.hdslb.com/bfs/face/737f8a76aa9e6c804003b0d75cc467f4dd5897b7.jpg
64,0,252430846256,3546618290768314,dxvlvxb,3,保密,在主包这条视频中推荐的刷卡部刷的,2025-01-15 04:17:36,0,0,,未知,否,https://i1.hdslb.com/bfs/face/f9cdaa87d2b5872d5859548789f067b10c009bb4.jpg
65,0,251855149857,620297783,妈妈说网名要好看,6,保密,有没有人解释一下为什么要把包放在那个草丛里[大哭],2025-01-15 04:04:37,1,1,,未知,是,https://i2.hdslb.com/bfs/face/b111d40d3474494addae7e24ed1dc11e769a0ff3.jpg
66,0,252292337424,1353048908,子州Oran,5,男,什么时候航天出单人模式了？,2025-01-13 12:38:37,0,0,"请输入文本
",未知,否,https://i2.hdslb.com/bfs/face/53278c98c8a27c306ead2cd65d1ccfaf64b767a2.jpg
74,0,252272230368,1292726521,中长跑绝绝子,5,男,"B站可以发语音了！！！
BV1AacWePEvV",2025-01-13 08:47:37,0,0,不把自己逼停，怎能知道极限，又怎能超越 。,未知,否,https://i1.hdslb.com/bfs/face/93bf172f8ac1dda3ffefb6ede1f3dae0fad78b9f.jpg
75,0,251574070817,2104293086,xxsss3154,4,保密,我不知道是up运气问题还是端手游他们打法不同          1：牢二基本会出来搜                                                       2：员通我就没遇见过或者说基本上都会返架，虽然很少死但是真的恶心                                                         3：桥下拉索是基本被抽的，我遇一直架那的很多，哪怕我都是从牢3过来他都还在架                                    想从up的这个路线走我个人认为，我个人认为，运气占太多太多了，我个人这么跑，机密10把，绝密6把，就2把进去了，还都是机密，,2025-01-11 15:53:01,1,13,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
76,0,251485925041,3493277602941872,玒玉不爱玩红狼,3,保密,思路全会了，请问如何匹配不抓牢位，不搜蓝室，不蹲拉阐的神人队手？就这个不会[doge],2025-01-10 15:42:17,0,0,,未知,否,https://i2.hdslb.com/bfs/face/84d07248058842e44e565db8f775151e7702e229.jpg
77,0,252019915504,335159221,夜与月与海,4,保密,有航天大哥带带嘛，已经被杀麻了[笑哭][笑哭][笑哭],2025-01-10 12:17:10,0,0,自身二次元游戏up主，会时不时的给大家推荐动漫和制作游戏攻略。,未知,否,https://i1.hdslb.com/bfs/face/888512fd94fd4b5874e1507eb486683776a6c0f8.jpg
78,0,251355268945,206099294,补药喊我名字,6,保密,我出去牢三，不到两分钟牢二那一队过来抢饭，出生在宿舍，才摸了航空箱那楼的一楼，就被隔壁那宿舍的打s了，开局不到3分钟，这太难受了，单三只想摸东西，开局就得打又打不过，谁受得了啊,2025-01-09 05:08:08,2,0,,未知,否,https://i2.hdslb.com/bfs/face/dae944757b45e02bfd56b6243dfac4a9f48baa78.jpg
79,0,251892193824,1630295008,黑白冰红茶,3,男,感谢主播[呲牙][呲牙],2025-01-09 03:02:08,0,0,,未知,否,https://i1.hdslb.com/bfs/face/6e9a0741164346b80ee8d0eb7d5ee7a1191286d1.jpg
80,0,251050920241,243183692,心岛和未晴,6,保密,带出油啦[打call][打call],2025-01-05 10:07:43,0,3,,未知,是,https://i2.hdslb.com/bfs/face/81ec18ecd7f17006ed986265435c02258f74a44e.jpg
