三角洲行动|推出|4款几何碎片系列武器外观
4款几何碎片系列武器外观|性质|免费获取
玩家|参与|对局
玩家|可在|商店中免费领取武器外观
几何碎片系列外观|可在|迷彩冲刺商店免费获取
几何碎片系列外观|包含|Vector冲锋枪外观
几何碎片系列外观|包含|SMG-45冲锋枪外观
几何碎片系列外观|包含|M4A1突击步枪外观
几何碎片系列外观|包含|CAR-15突击步枪外观
商店|还提供|头像-伞降
商店|还提供|军牌-发射升空
商店|还提供|喷漆-等待加载
商店|还提供|语音-最近老是想吃点辣的
玩家|完成|对局获取迷彩币
迷彩币|可用于|兑换武器外观
玩家|参与|烽火地带模式或全面战场模式
烽火地带模式|要求|干员参与对局
烽火地带模式|以|撤离时带出的收益为指标
完成烽火地带模式所有指标|奖励|50K哈夫币
完成烽火地带模式所有指标|奖励|1800迷彩币
完成烽火地带模式所有指标|奖励|10战备物流凭证
全面战场模式|要求|干员参与对局
全面战场模式|要求|使用冲锋枪或突击步枪击败指定数量敌人
完成全面战场模式所有指标|奖励|军功倍增卡
完成全面战场模式所有指标|奖励|1800迷彩币
完成全面战场模式所有指标|奖励|10战备物流凭证
活动时间|截止|4月16日
4月17日|上线|全新赛季
全新赛季|持续时间|10天
赛季通行证经验获取速度|提升至|150%
每周总经验上限|解除|
干员们|应|积极冲刺赛季经验
战备物流凭证|需|及时使用
赛季结束时|战备物流凭证|被回收
新赛季|准备|战备物流外观
焰火赛季|即将结束|
洲宝|祝愿|各位干员本赛季不留遗憾
3DM小编|整理|三角洲行动免费武器外观获取方法
本文|来源|互联网
