序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,262201576832,480218134,晚枫-归鱼,3,保密,我这个才是冲锋枪[微笑][微笑]定位好可以下弹鼓提高机动性,2025-05-06 16:48:31,0,0,,未知,是,https://i1.hdslb.com/bfs/face/6a55fca194ed692e97f2a93ceefa9cff0e065f05.jpg
2,0,261187989265,3546857707931776,显尽舒华,2,保密,烽火m4a1金蛋打金套一枪胸两枪头,2025-05-05 17:45:01,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
3,0,257184258017,405057596,_Wicks,6,男,你的世界排名很厉害 期待在职业赛场上看到你发挥 任何FPS都行 以后ALGS OWL那种比赛没你我真不看 难道你打不了是因为线下赛都不让你带板子和副机过去吗？招笑,2025-03-16 21:35:25,0,0,我是下头男 先别急,未知,是,https://i2.hdslb.com/bfs/face/2f672758f0390c1410fdb07a7df0fd282cc276ba.jpg
4,0,256807985905,694942861,1407664,4,保密,这么吊去玩cs玩这玩意干啥[笑哭],2025-03-12 09:10:01,0,0,,未知,是,https://i1.hdslb.com/bfs/face/09254d48afce2f9c658cd47690085c998f998fd6.jpg
5,0,257445685552,413521728,答题好难鸭,5,保密,腾龙手感不好又慢，还是M4是我的主心骨。开镜快嘎嘎吃薯条。远就二套稳定输出[吃瓜],2025-03-10 13:08:23,0,0,,未知,否,https://i0.hdslb.com/bfs/face/8c091a5f426b0b358bd950ef2e47782490fd8fff.jpg
6,0,256780699712,1755480946,催逝员柠檬,4,保密,纠结95和m4和Aug哪个好有没有大佬指点下,2025-03-02 10:34:05,0,1,,未知,否,https://i1.hdslb.com/bfs/face/c232315e52327ac8ccf20f6acbe75873a1617f65.jpg
7,0,255096428449,33888086,寒露秋阳,6,男,这不纯嗦？,2025-02-19 06:16:57,0,0,,未知,否,https://i2.hdslb.com/bfs/face/af1a335adf6d4ff20cd0ec092f39c11d7a13ae34.jpg
8,0,254634475121,429959968,碧海印象,5,保密,你这种典型的双机外挂，一台电脑开游戏，另一台开外挂，配上融合器使两个画面重合，就可以达到自瞄效果（使用AI或者amd）你这两种基本是独家代码数据库里并没有你的数据，目前无法识别你的特征，加上扫盘只会扫你游戏的主机，另一台无法检测，我说的，对吧？[喜极而泣],2025-02-14 01:26:52,0,3,,未知,是,https://i1.hdslb.com/bfs/face/d27adb5f4de11a958978d59e72d8a6417316f4b5.jpg
9,0,254082240336,3546646669429321,GTI干员王宇昊,3,男,枪托换成ur特种托会更稳,2025-02-01 06:38:35,0,0,Metro-鸽铁6号线,未知,否,https://i1.hdslb.com/bfs/face/bfed67c506935badbc6c85ebc8c41f9761504f64.jpg
10,0,253773520256,3546625486097341,风鹰剑客,4,保密,应该没有t0级武器，要么手感好，要么被十个人围殴致死,2025-01-28 19:48:14,0,0,,未知,否,https://i1.hdslb.com/bfs/face/54cd3caed7d9f2998a7319fa5b3b526415861b3b.jpg
11,0,253545733424,4230138,Echonet,6,男,技术主播可太多了  满大街 点进去都是裤裤杀 建议更换赛道[doge],2025-01-26 12:31:20,0,0,,未知,否,https://i0.hdslb.com/bfs/face/9578c6053047aa89af57a5b11a0133db632d394a.jpg
12,0,252856122545,1675902171,麦当劳后厨pro,4,男,这肯定不是锁，因为up有几次镜内微调，因为是个人都会有失误，但锁没有镜内微调,2025-01-25 18:25:52,0,0,,未知,是,https://i0.hdslb.com/bfs/face/e2b13512ade12fdb301d3099f159d8baaffeeef0.jpg
13,0,252753961889,1421227289,bili_61954892636,3,保密,全面战场最高91杀，没开炮没放导弹，全是用枪硬杀的，用腾龙或SG552这种很稳的枪完全能做到，那里需要挂，这游戏都要开挂不是跟猪一样。,2025-01-24 16:16:33,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
14,0,253287710048,8926029,ONE-IS-ALL-w1,6,保密,玩多了cod一帧拉枪打屏幕里面显示的人我也能做得到 只不过是在码头之类的没什么复杂地形的地图,2025-01-24 00:50:31,0,0,别几把给我推虚拟主播了！,未知,否,https://i0.hdslb.com/bfs/face/1c8e19723cf3a8bc7ac33c0fc0a890f9489102e4.jpg
15,0,253268861760,371674606,百目雎,5,保密,我觉得吧，up你理解错了，有这实力肯定玩ttk更短的枪啊，你这属于个人实力了，[doge][doge],2025-01-23 16:02:05,0,0,,未知,否,http://i1.hdslb.com/bfs/face/d5910f2e91a89b154cf2652cc90d5cc762141127.jpg
16,0,252611526321,10995650,原来我会这么难过,6,保密,给我个分享码，我导入进去,2025-01-23 08:17:14,0,0,,未知,是,https://i2.hdslb.com/bfs/face/faf8e5b1189bce903dddceb9119e1a8736bbc40c.jpg
17,0,252347713216,389648842,浅草shallow,5,男,我求求这些给它洗的自己录个大号带id的视频发一下吧，天天说是基操，那录一个基操出来也是很容易的吧,2025-01-14 05:12:03,0,0,如果我是丁真你会爱我吗?,未知,是,https://i1.hdslb.com/bfs/face/21adce4c7d092ea8ffb683b7e28b762c3bd695c0.jpg
18,0,251366011473,3537118559210063,草木尔玉,4,保密,新人刚玩的时候能选的枪不多，我最开始用的就用的蜂医把等级混上去才玩的其他,2025-01-09 07:59:08,0,0,往事如烟,未知,否,https://i2.hdslb.com/bfs/face/29377e6e27662db0363e5845407fda88c976beae.jpg
19,0,251308038384,2169040,双龙爱用双头龙,6,男,吃配件   没配件太漂了  配件多起来就稳定多了  基本是激光枪 但是射速有点过于快了 想多杀得控枪,2025-01-02 06:57:43,0,0,"以前：今天是周五啊！
以后：今天是周五啊～",未知,是,https://i1.hdslb.com/bfs/face/a03a98d0385057f39e747e06479dfd54dbb8c1a7.jpg
20,0,250074990288,1683532628,装成喵喵的汪汪,5,保密,看下来最怪的是22秒那波，不过一个视频也锤不了,2024-12-19 01:31:05,0,0,,未知,否,https://i2.hdslb.com/bfs/face/2ad3155b0a23a34500159d6717dc11025eb089b3.jpg
21,0,249735281968,83199504,杉杉可爱ww,6,女,"说句公道话，是不是透这么短的视频看不出来，有可能，但大概率是高手+运气，毕竟是剪辑，人家肯定要把打得好的操作剪出来，不可能把被人胖揍的片段剪出来呀。锁的话我感觉不是，大角度拉枪都有二次定位，我做不到这么好这么快的定位但我知道有人能做到，是一般人做不出来的正常操作。
另外，最有力的反驳不是语言而是obs+第三方视角+录手 或者有条件的话也可以买个眼动仪，开着这些东西打一局把视频放出来，就没有任何人有资格跟你狗叫。不然被怀疑也是正常的。",2024-12-15 03:11:08,0,0,不如逃吧,未知,是,https://i0.hdslb.com/bfs/face/8cbd6841172500c938b7952d8f7fb0ecdd1c7157.jpg
22,0,249367978736,688344024,舊城煙雨-,4,保密,乐，跳起来锁的是起跳的那个位置，小叮当在世,2024-12-10 20:57:24,0,0,攻略好地方,未知,否,https://i0.hdslb.com/bfs/face/cf1ef9c2045e317dfe6dbe8659b6f7a69c7572d5.jpg
23,0,248927189969,3494367874517650,我冠呢,3,保密,是个人都会有一帧拉的情况更别说经常玩的了，打的多了，肯练定位自然就强，我某次玩使的时候玩M16打的是山景，在双梯往B包看了一眼，那人就漏了个上胸我给他蒸发了，后面打A包的时候听见后面有人切刀果断回头狙，我在圆盘他在包后面只露个头我都狙到了，只能说是手感和长时间的积累造成的，见了定位强就说锁的人这辈子有了，把脑锁住了吧,2024-12-10 15:18:45,1,0,快笑啊孩子，为什么不笑呢，是天生不爱笑吗,未知,否,https://i1.hdslb.com/bfs/face/65ae72a68bb5a304572ab714b3bd30f3fad55149.jpg
24,0,249157372224,412219818,謀鈳學鍀雙開錵,6,男,BV1fK411v7ic打开视频跳转34秒,2024-12-08 09:15:00,0,0,当你点进我主页的一刻，你就已经输了，因为你发现你无法反驳我的观点，因此只能选择攻击我的人格,未知,否,https://i0.hdslb.com/bfs/face/347031846425b64c0d421e634e3e796c8ee5d440.jpg
25,0,249157022384,412219818,謀鈳學鍀雙開錵,6,男,说不是挂的这辈子有了，cncs没你简直是一大损失,2024-12-08 09:13:01,0,1,当你点进我主页的一刻，你就已经输了，因为你发现你无法反驳我的观点，因此只能选择攻击我的人格,未知,否,https://i0.hdslb.com/bfs/face/347031846425b64c0d421e634e3e796c8ee5d440.jpg
26,0,248420668720,480895310,星单机游戏爱好,3,男,可以英雄武器效果抢包吗？,2024-11-30 00:42:14,0,0,,未知,否,https://i2.hdslb.com/bfs/face/877ec5f411204da1e92f4db05a44d64d02687f81.jpg
27,0,248027339105,3494369095059672,鸡三尺曰鶤,4,保密,再强的枪你叫对面打侧身提前量了该死还是死,2024-11-29 15:13:37,0,0,流水不争先,未知,否,https://i0.hdslb.com/bfs/face/ea75242123a984a7add7e531ad0a33d58f0c0fee.jpg
28,0,248329390960,34063126,Xenn0n,6,男,这拉枪不挺正常的吗？这基本的拉枪能力没有那你就别玩大战场了，别的游戏你可能打A看A。但玩大战场游戏你就是得有打A看B瞟C的能力，随时应对每个地方出人的情况。,2024-11-28 19:56:13,0,0,保持纯粹,未知,是,https://i1.hdslb.com/bfs/face/13aa78b381111cb2bab0738c5a3c49e58d969480.jpg
29,0,247871494833,1058918990,你予我的错觉堪比美梦,5,男,这都说挂的，感觉这些人来玩cs一辈子都只能玩野牛混在d到c之间[笑哭],2024-11-27 15:44:17,0,1,,未知,否,https://i2.hdslb.com/bfs/face/7b64fc181870dc340debe2d1ffbd649cccc65b2d.jpg
30,0,248153079136,23370533,全自动菲兹,6,男,191用了一天感觉还是没m4舒服,2024-11-26 15:45:03,0,0,那我缺的这个营养谁给我补啊,未知,是,https://i2.hdslb.com/bfs/face/77585edaef2cc086bc509df4d58b99a147732e5b.jpg
31,0,248027810608,662176529,中序便利二叉树,5,男,csgg,2024-11-25 06:10:51,0,0,白痴不要辜负鸽王啊喂,未知,否,https://i2.hdslb.com/bfs/face/1bc9fc1e4a022c97f91a793e2dca3ed9b9a5ea37.jpg
32,0,247995802624,370224746,莱茵东台分公司董事长,6,保密,飞天的威龙那波跟枪 你不去打守望76可惜了,2024-11-24 17:18:16,0,0,,未知,否,https://i2.hdslb.com/bfs/face/c991e30efa45498ad83998edd420533bd5e10d00.jpg
33,0,247982272528,630905,MetalSlug_Sv001,6,男,dma啊我草,2024-11-24 14:19:53,0,0,,未知,是,https://i2.hdslb.com/bfs/face/19f98de3e31367eef50568a8777c9237d3d1af6c.jpg
34,0,247953139248,1486859120,安-煜宸,4,男,k4也可以,2024-11-24 08:28:57,0,0,安煜宸,未知,是,https://i2.hdslb.com/bfs/face/a7c3f3a61a0f8cd4379f81474c64a0dd857c7913.jpg
35,0,247594545153,691769459,黑狗的老父亲,5,保密,不如我的无镜AS直接打150M[doge_金箍],2024-11-24 07:17:46,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
