序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像,emotion
1,0,261218910449,353320987,虾仁不眨眼X_X,5,男,说句实话[无语]用这种大众dma测试，包被封[思考]找人做定制，90%封不了[兔兔岛_睡觉]（来自一个每天都玩能碰到外挂的玩家真实体验）,2025-05-06 07:19:38,0,0,一房二人三餐四季,未知,是,https://i1.hdslb.com/bfs/face/9d8546f55b833ef7f95c844c417d31430951cc12.jpg,Regret
2,0,261191204065,11219590,孤骨辜,6,保密,cf之前出的苟逝挑战纯堆血量一堆大哥开挂带人速通的，我室友搞了个小号买的挂带自己大号刷挑战用一直没事，都是先退的游戏再退的挂，有一天先退的挂账号直接秒封，卖挂的人说挂里有内部码你先退挂那边识别不到直接封,2025-05-05 20:05:25,0,0,1092544072,未知,否,https://i1.hdslb.com/bfs/face/8a11eb22b9aa80c5b9a8fcaf00add8791b1ca130.jpg,Disgust
3,0,262126572736,1215599508,一只和尘,4,保密,dma要双设备更符合使用情况吧,2025-05-05 17:01:53,0,0,,未知,是,https://i0.hdslb.com/bfs/face/53ac99c60aa5bbca5f38a3e4972da834f2477897.webp,Expectation
4,0,261123910561,295283866,墨白恋月,6,男,"有些科技自称“游戏是免费的，那么科技也是免费的”，不断的搞“公益”“测评”“免费”的科技。免费给你提供，只要你上传数据就行，他们再通过你每场游戏的表现以及封禁的状态，不断修改。
在我看来，除非你搞死亡回放，让每个人清楚的知道自己怎么死的 ，然后再即使举报，当然，最后还要在于你们处理的结果。
要不就搞连坐，小黑屋直接上来，不管开不开，先来小黑屋，这样就是透支游戏信誉。
这个赛季问题太多了，KD2.5 统帅 你就开吧，你看封不封，上个赛季还是1.3，这个赛季才打了几局？2.5？吞子弹的问题，偶尔卡顿。
你封禁力度比外挂还多？上次我见到这么多免费的科技还是CF，算了吧，要不是现在百亿流量扶持，怕不是早凉了。",2025-05-05 03:38:57,0,0,ⅰ⃝该账号封禁中​,未知,否,https://i1.hdslb.com/bfs/face/dd5f41e5d42a259a04911ad0b0b026977dccb4d6.jpg,Disgust
5,0,262052083520,504127548,勇猛的超哥,5,男,给个机会，让我带头冲锋。,2025-05-05 01:08:28,0,0,,未知,否,https://i0.hdslb.com/bfs/face/4e55c1daf50c329ccdeebf1237dd1fb50105d7b1.jpg,Expectation
6,0,261930137808,9992014,Hal啊,6,男,如果我匹配到了你们的测试人员，导致我成了薯条，可不可以发个红包给我[妙啊],2025-05-03 13:56:46,0,0,,未知,否,https://i1.hdslb.com/bfs/face/c7c46af5b878f21f5d133a18c7104942951a5509.jpg,Regret
7,0,260885477665,1691527056,羊宫妃那来咯_,5,保密,越火的游戏，开桂的越多,2025-05-02 09:06:01,0,0,"“你昏倒的时候，叫宙斯这个名字，叫了98次”
“宙斯是世界第一上单，是我偶像”
“还有一个名字叫马头的，你叫了784次”",未知,是,https://i0.hdslb.com/bfs/face/38567f8a9bbc918706ae9a6ea042ec496be6b684.jpg,Disgust
8,0,260813728241,1011910558,招似雨汐,5,保密,如何解除机器码啊，有没有成功的兄弟说说,2025-05-01 11:44:41,0,1,,未知,是,https://i1.hdslb.com/bfs/face/8aced2a27582a80e406481760b13ee18020d0b4f.jpg,Expectation
9,0,261715211936,15723947,似李薛定谔,6,男,弹幕还有挂狗现身说法？,2025-05-01 05:01:51,0,0,向世界敞开,未知,是,https://i2.hdslb.com/bfs/face/4ab310aefc196c811b454b8db75c3b23dd182db4.jpg,Disgust
10,0,260552550561,11893581,请多放葱花,6,男,这样测其实没有啥用，真作弊的才不会用这种烂大街的固件，基本上插上就被检测了，都是大几百上千单独刷的固件，建议提高预算用重新刷的固件测试下,2025-04-28 05:14:04,0,2,。,未知,是,https://i0.hdslb.com/bfs/face/99a426dd0fa9f3929d3a28f434647eb5bdcd02cb.jpg,Disgust
