序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,262184447344,3493093739333819,超糖眼镜哥,4,保密,@许允航完全没有7七,2025-05-06 13:05:53,0,0,"大坤坤一条大坤坤，这个坤坤真的很奇妙  
要不要去码头整点薯条？",未知,否,https://i2.hdslb.com/bfs/face/4720d2b889c43397f704a3403de5288e2097b731.jpg
2,0,262184446016,3493093739333819,超糖眼镜哥,4,保密,@半唐贝利亚,2025-05-06 13:05:50,0,0,"大坤坤一条大坤坤，这个坤坤真的很奇妙  
要不要去码头整点薯条？",未知,否,https://i2.hdslb.com/bfs/face/4720d2b889c43397f704a3403de5288e2097b731.jpg
3,0,261236299681,1964769378,想要抹茶巴菲的猫猫,5,男,@阿拜多斯肘击王星野酱,2025-05-06 11:46:26,0,0,最喜欢少女乐队了,未知,否,https://i0.hdslb.com/bfs/face/5fd7db1813a82604437f9743233c125a8944e43c.jpg
4,0,262175903680,3546574693075223,我先鹿了,4,男,"我的妈呀😩
这就是我为什么不喜欢玩大坝😡
我在航天被阴死，我可以这样想😩
唉呀他装备挺好的吧，
那算了吧，大家都是四五十万的装备进来不亏☹️
一个臭大坝🤬
18万战备进去博了我300万的装备，艹……😡
哎呦，😢我真难受啊，😭啊！！😡
哇嘎奈一油 😭哇嘎奈一油 😭呜～
我也不想去跑刀😭这不逼着我也去阴人吗？😭
我不想去😭
芜～到游客中心了🤪
芜～到变电站了🤪
芜～到主楼了🤪
安全抵达😎（弹幕交给我的一个薯窝）
好像来人了🤫
你别走啊😨，回来😨
哈哈哈哈哈😆😭
这不怪我😭
你别怪我😭
我也被人阴死过的😢
你懂吗？😭我也被人阴死过的😢
别怪我，😭我被人我也被人阴死过了😭
我不我配不…😰迫不得已我才这样的😭
你不能怪我，😢你不能怪我😢
我也被人阴死过的😢
你以后就懂了😞，以后你就懂了😣
这不怪我😫
这真不怪我兄弟们😥
这都不怪我😥
这种我感觉这种东西就像不劳而获🤔
你们知道吗？😕
我在干着别的事☹️
我同时还在干这个事
就等于说我在蹲人的这件事上他就是没有任何成本的🙁
我真的感觉这样很罪恶☹️
在不劳而获😫
我不喜欢这种感觉😫
我不喜欢，我不喜欢😩
我不喜欢这样😖
哈哈哈哈哈哈😄
哈哈哈哈哈哈哈哈😄
我不是故意的🤣
啊……😫
我也被人阴过的😫
你懂我😢……哈哈哈哈哈😈
啊！！！😭
我不吃啊……😭
我吃的好少😈
哈哈哈哈哈哈哈😈
他不能怪我😭
我也被阴过的😭
这不怪我😭
哈哈哈😈😈
诶嘿哈哈哈哈哈😈
无所谓🙄
也就才十来万装备🙄
给你了🫤
这剩下的肉蛋你不用又可惜，卖了又浪费🤗
不如再来一把🤗
嘿嘿嘿嘿嘿嘿😈
嘿嘿哈哈哈哈哈哈😈
谁让你们不搜点😈
哈哈哈哈哈😈
我这是给你们个教训😈
让你们以后得好好搜点😝
哈哈哈哈哈🤪 啊哈哈哈哈哈😜
走喽🤪
要不再蹲个撤离点吧😈
哈哈哈哈哈哈😈",2025-05-06 11:18:39,0,0,"
鹿",未知,否,https://i2.hdslb.com/bfs/face/68eb389d0f6dd4e51485ea8efad17e4ad693085c.jpg
5,0,261204333073,431180391,Neptune_岚,6,男,孩子们放心飞升，我不在发射区,2025-05-06 03:24:37,0,0,随性而为，视频单纯发着玩，没啥活，可以不用关注,未知,是,https://i0.hdslb.com/bfs/face/e5e8b0af3e57f81f9f417e864e9096c2fae73656.jpg
6,0,262137882560,81594447,DAVEwood,6,男,就只有我一个人觉得这音乐像使命召唤17的CIA的开场音乐吗？😥,2025-05-06 01:05:59,0,0,dave dave,未知,是,http://i0.hdslb.com/bfs/face/04646032b2566300c78d4f71e6b788d0c4dbf357.jpg
7,0,262118742496,2002321206,岚乾墨,4,保密,看到红光还不跑的有福了,2025-05-05 15:08:26,0,1,这个人很懒什么都没有写,未知,是,https://i0.hdslb.com/bfs/face/24b73fad68c45093de726fc2a257a0819e431ff5.webp
8,0,262049338288,1592480325,d空白p,5,男,我在花园被狙，我还寻思有堵桥的，然后突然意识到是发射区的老太,2025-05-05 00:15:44,0,0,这个人好像写了，但又什么都没写,未知,否,https://i0.hdslb.com/bfs/face/15cbf6235da55ec096ffe37ea6ffdd0100652a5a.jpg
9,0,262035852880,13708705,清风折柳i,6,保密,@ppppqppp @小黄车下单压缩毛巾 @糖豆大大 @你愁啥你瞅啥 助眠,2025-05-04 16:30:43,0,0,,未知,是,https://i1.hdslb.com/bfs/face/ee829b7779b1522397c695186422d928f3792ca3.jpg
10,0,261096444545,3546675912117077,小小78鼠鼠,4,保密,"回魂者行动（类似衔尾蛇） 行动成功奖励 曼德尔超算单元*1
EP1–复原火箭发射机
出生地 航天基地—中控楼 员工通道1，2敞开除总裁室外的所有房间开放 牢区宿舍去水瓶试车间及桥下和外围花园关闭
前往中控楼原保险处—
打开曼德尔探测器存放的箱子—
携带它，寻找曼德尔单元，并清理驻军—
敌军来袭（60秒防守） 清理驻军 并控制密涅瓦的发射器
控制发射器—
EP2–曼德尔单元
前往浮力室或蓝室（两个分支）—
EP2.1–蓝室核心
监测到蓝室核心传来信号，谨慎行动
击杀中心花园的【安全总监】德穆兰 并去往蓝室核心寻找曼德尔单元—
未找到曼德尔超算单元—
EP2.2–火箭发射台
监测到发射区传来信号，谨慎行动
击杀发射区的【安全总监】德穆兰以及其它驻军，并去往火箭发射台寻找曼德尔单元—
未找到曼德尔超算单元
EP3–“雅各布—哈夫克”
（过场动画）
你们在哪—糟糕 通讯器失联了  
哈夫克出现“你们找的是这个吗”他指着超算单元
随后黑屏
装备丢失 被抓到总裁室 
刺杀哈夫克—
悄悄接近 并使用伤害技能或者处决击败哈夫克—
击杀哈夫克—
夺取装备—
在60秒内掏出核心区—",2025-05-04 16:11:59,0,1,我是豪鼠,未知,否,https://i2.hdslb.com/bfs/face/fa63a25dfa2385d05be1874bb0dd00605464e536.jpg
11,0,262028427120,3546762690169643,--安全总监-德穆兰,3,保密,天空属于哈弗克！,2025-05-04 15:01:48,0,0,如果可以的话请杀了我,未知,否,https://i2.hdslb.com/bfs/face/2dda2ff8cc70075caaabe8b528d9db0c7ebca9c4.jpg
12,0,262009144592,505887519,孤独的梓,5,男,M700打出了m7的射速[笑哭],2025-05-04 11:32:35,0,1,一个身兼旅行者，开拓者，sensei的菜鸟,未知,否,https://i0.hdslb.com/bfs/face/4cbc57e25f21e0b35ed5455b4c7aa77ff7e53fbd.jpg
13,0,261062778641,1123104381,幽澜不懒,5,保密,有一把出了10个大红全在离心出的然后准备走飞升结果我和队友全被崩掉力（[捂脸],2025-05-04 09:51:36,3,0,,未知,否,https://i0.hdslb.com/bfs/face/3ca2ddbef32644a13898705b0d2d98e39a88dc9f.jpg
14,0,261998201488,244841722,没削的苹果,6,男,你还我火箭燃料😭,2025-05-04 09:30:30,0,0,,未知,是,http://i1.hdslb.com/bfs/face/6820f83e94fd88c0212c04185e1b780dc1bdae72.jpg
15,0,261053367937,14027599,双月当空必有妖,6,保密,出生在发射区真的太难对付了,2025-05-04 07:42:35,0,0,,未知,是,https://i1.hdslb.com/bfs/face/dd416211d3bebcc8db336f5d8fcbfadf8ebbcb0b.jpg
